-4.485622 -0.003620 -0.028548 1601262854.861463
-4.513945 -0.006247 -0.048284 1601262854.886436
-4.542268 -0.008874 -0.068021 1601262854.911408
-4.570591 -0.011501 -0.087757 1601262854.961353
-4.598914 -0.014128 -0.107493 1601262854.986325
-4.627237 -0.016754 -0.127229 1601262855.011297
-4.655560 -0.019381 -0.146965 1601262855.036270
-4.683883 -0.022008 -0.166702 1601262855.086215
-4.712206 -0.024635 -0.186438 1601262855.111187
-4.740529 -0.027262 -0.206174 1601262855.136159
-4.768852 -0.029889 -0.225910 1601262855.161203
-4.797175 -0.032515 -0.245646 1601262855.211160
-4.825498 -0.035142 -0.265382 1601262855.236138
-4.853821 -0.037769 -0.285119 1601262855.261116
-4.882144 -0.040396 -0.304855 1601262855.286094
-4.910467 -0.043023 -0.324591 1601262855.311073
-4.938790 -0.045650 -0.344327 1601262855.361029
-4.967113 -0.048277 -0.364063 1601262855.386007
-4.995435 -0.050903 -0.383799 1601262855.410985
-5.023758 -0.053530 -0.403536 1601262855.460942
-5.052081 -0.056157 -0.423272 1601262855.485920
-5.080404 -0.058784 -0.443008 1601262855.510898
-5.108727 -0.061411 -0.462744 1601262855.535877
-5.137050 -0.064038 -0.482480 1601262855.585833
-5.165373 -0.066664 -0.502217 1601262855.610811
-5.193696 -0.069291 -0.521953 1601262855.660604
-5.222019 -0.071918 -0.541689 1601262855.685573
-5.250342 -0.074545 -0.561425 1601262855.710541
-5.278665 -0.077172 -0.581161 1601262855.730516
-5.306988 -0.079799 -0.600897 1601262855.755484
-5.335311 -0.082426 -0.620634 1601262855.805421
-5.363634 -0.085052 -0.640370 1601262855.835383
-5.391957 -0.087679 -0.660106 1601262855.855358
-5.420280 -0.090306 -0.679842 1601262855.880326
-5.448603 -0.092933 -0.699578 1601262855.905294
-5.476926 -0.095560 -0.719315 1601262855.955231
-5.505249 -0.098187 -0.739051 1601262855.980200
-5.533572 -0.100813 -0.758787 1601262856.005168
-5.561895 -0.103440 -0.778523 1601262856.030136
-5.590218 -0.106067 -0.798259 1601262856.055105
-5.618541 -0.108694 -0.817995 1601262856.110035
-5.646863 -0.111321 -0.837732 1601262856.130010
-5.675186 -0.113948 -0.857468 1601262856.155109
-5.703509 -0.116575 -0.877204 1601262856.205053
-5.731832 -0.119201 -0.896940 1601262856.230025
-5.760155 -0.121828 -0.916676 1601262856.254997
-5.788478 -0.124455 -0.936412 1601262856.279969
-5.816801 -0.127082 -0.956149 1601262856.304941
-5.845124 -0.129709 -0.975885 1601262856.354885
-5.873447 -0.132336 -0.995621 1601262856.379857
-5.901770 -0.134962 -1.015357 1601262856.404829
-5.930093 -0.137589 -1.035093 1601262856.429801
-5.958416 -0.140216 -1.054830 1601262856.454772
-5.986739 -0.142843 -1.074566 1601262856.504716
-6.015062 -0.145470 -1.094302 1601262856.529688
-6.043385 -0.148097 -1.114038 1601262856.554660
-6.071708 -0.150723 -1.133774 1601262856.579632
-6.100031 -0.153350 -1.153510 1601262856.604604
-6.128354 -0.155977 -1.173247 1601262856.654581
-6.156677 -0.158604 -1.192983 1601262856.679557
-6.185000 -0.161231 -1.212719 1601262856.704533
-6.213323 -0.163858 -1.232455 1601262856.729508
-6.241646 -0.166485 -1.252191 1601262856.754484
-6.269969 -0.169111 -1.271927 1601262856.804436
-6.298292 -0.171738 -1.291664 1601262856.834407
-6.326614 -0.174365 -1.311400 1601262856.854387
-6.354937 -0.176992 -1.331136 1601262856.879363
-6.383260 -0.179619 -1.350872 1601262856.904339
-6.411583 -0.182246 -1.370608 1601262856.954290
-6.439906 -0.184872 -1.390345 1601262856.984261
-6.468229 -0.187499 -1.410081 1601262857.004242
-6.496552 -0.190126 -1.429817 1601262857.029218
-6.524875 -0.192753 -1.449553 1601262857.054193
-6.553198 -0.195380 -1.469289 1601262857.104145
-6.581521 -0.198007 -1.489025 1601262857.129121
-6.609844 -0.200634 -1.508762 1601262857.178970
-6.638167 -0.203260 -1.528498 1601262857.203940
-6.666490 -0.205887 -1.548234 1601262857.253881
-6.694813 -0.208514 -1.567970 1601262857.278852
-6.723136 -0.211141 -1.587706 1601262857.303823
-6.751459 -0.213768 -1.607443 1601262857.333787
-6.779782 -0.216395 -1.627179 1601262857.378735
-6.808105 -0.219021 -1.646915 1601262857.403705
-6.836428 -0.221648 -1.666651 1601262857.428676
-6.864751 -0.224275 -1.686387 1601262857.453646
-6.893074 -0.226902 -1.706123 1601262857.473623
-6.921397 -0.229529 -1.725860 1601262857.523564
-6.949720 -0.232156 -1.745596 1601262857.548535
-6.978042 -0.234783 -1.765332 1601262857.573505
-7.006365 -0.237409 -1.785068 1601262857.598476
-7.034688 -0.240036 -1.804804 1601262857.623446
-7.063011 -0.242663 -1.824540 1601262857.673474
-7.091334 -0.245290 -1.844277 1601262857.698447
-7.119657 -0.247917 -1.864013 1601262857.723420
-7.147980 -0.250544 -1.883749 1601262857.748393
-7.176303 -0.253170 -1.903485 1601262857.773366
-7.204626 -0.255797 -1.923221 1601262857.823312
-7.232949 -0.258424 -1.942958 1601262857.848285
-7.261272 -0.261051 -1.962694 1601262857.873258
-7.289595 -0.263678 -1.982430 1601262857.898231
-7.317918 -0.266305 -2.002166 1601262857.948176
-7.346241 -0.268932 -2.021902 1601262857.973149
-7.374564 -0.271558 -2.041638 1601262857.998122
-7.402887 -0.274185 -2.061375 1601262858.048068
-7.431210 -0.276812 -2.081111 1601262858.073041
-7.459533 -0.279439 -2.100847 1601262858.098014
-7.487856 -0.282066 -2.120583 1601262858.122987
